iter	Passed	Remaining
1502	4802	1588
1503	4806	1585
1504	4810	1582
1505	4813	1579
1506	4817	1575
1507	4820	1572
1508	4823	1569
1509	4826	1566
1510	4829	1562
1511	4835	1560
1512	4838	1557
1513	4841	1554
1514	4844	1550
1515	4847	1547
1516	4850	1544
1517	4853	1541
1518	4856	1537
1519	4860	1534
1520	4863	1531
1521	4866	1528
1522	4869	1524
1523	4871	1521
1524	4874	1518
1525	4877	1514
1526	4880	1511
1527	4883	1508
1528	4886	1505
1529	4890	1502
1530	4897	1500
1531	4900	1497
1532	4904	1493
1533	4911	1491
1534	4914	1488
1535	4918	1485
1536	4923	1483
1537	4930	1481
1538	4936	1478
1539	4941	1476
1540	4948	1473
1541	4953	1471
1542	4961	1469
1543	4969	1467
1544	4973	1464
1545	4977	1461
1546	4980	1458
1547	4983	1455
1548	4986	1451
1549	4990	1448
1550	4993	1445
1551	4996	1442
1552	5000	1439
1553	5003	1435
1554	5006	1432
1555	5009	1429
1556	5012	1426
1557	5015	1422
1558	5017	1419
1559	5021	1416
1560	5024	1412
1561	5027	1409
1562	5034	1407
1563	5037	1404
1564	5040	1401
1565	5043	1397
1566	5046	1394
1567	5049	1391
1568	5052	1387
1569	5055	1384
1570	5060	1381
1571	5064	1378
1572	5068	1375
1573	5072	1372
1574	5076	1369
1575	5080	1366
1576	5084	1363
1577	5087	1360
1578	5091	1357
1579	5094	1354
1580	5097	1351
1581	5103	1348
1582	5108	1345
1583	5112	1342
1584	5115	1339
1585	5119	1336
1586	5122	1333
1587	5125	1329
1588	5128	1326
1589	5131	1323
1590	5135	1320
1591	5138	1316
1592	5141	1313
1593	5144	1310
1594	5148	1307
1595	5152	1304
1596	5155	1301
1597	5158	1297
1598	5161	1294
1599	5165	1291
1600	5168	1288
1601	5174	1285
1602	5178	1282
1603	5182	1279
1604	5186	1276
1605	5189	1273
1606	5191	1269
1607	5194	1266
1608	5197	1263
1609	5200	1259
1610	5203	1256
1611	5205	1253
1612	5208	1249
1613	5211	1246
1614	5214	1243
1615	5217	1239
1616	5220	1236
1617	5223	1233
1618	5225	1229
1619	5228	1226
1620	5232	1223
1621	5236	1220
1622	5239	1217
1623	5242	1213
1624	5245	1210
1625	5248	1207
1626	5251	1203
1627	5254	1200
1628	5257	1197
1629	5260	1194
